date,areaType,areaCode,areaName,cumCasesBySpecimenDateRate
2020-05-12,region,E12000007,London,340.7
2020-05-11,region,E12000007,London,338.5
2020-05-10,region,E12000007,London,336.7
2020-05-09,region,E12000007,London,335.3
2020-05-08,region,E12000007,London,333.9
2020-05-07,region,E12000007,London,331.6
2020-05-06,region,E12000007,London,328.6
2020-05-05,region,E12000007,London,325.6
2020-05-04,region,E12000007,London,323.1
2020-05-03,region,E12000007,London,320.4
2020-05-02,region,E12000007,London,318.5
2020-05-01,region,E12000007,London,315.7
2020-04-30,region,E12000007,London,311.8
2020-04-29,region,E12000007,London,307
2020-04-28,region,E12000007,London,302.3
2020-04-27,region,E12000007,London,298.8
2020-04-26,region,E12000007,London,294.1
2020-04-25,region,E12000007,London,290.6
2020-04-24,region,E12000007,London,286.9
2020-04-23,region,E12000007,London,282.7
2020-04-22,region,E12000007,London,276.9
2020-04-21,region,E12000007,London,272.4
2020-04-20,region,E12000007,London,267.3
2020-04-19,region,E12000007,London,262.4
2020-04-18,region,E12000007,London,258
2020-04-17,region,E12000007,London,253.5
2020-04-16,region,E12000007,London,247.1
2020-04-15,region,E12000007,London,240.6
2020-04-14,region,E12000007,London,233.3
2020-04-13,region,E12000007,London,226.6
2020-04-12,region,E12000007,London,219.9
2020-04-11,region,E12000007,London,214.3
2020-04-10,region,E12000007,London,208.5
2020-04-09,region,E12000007,London,201.6
2020-04-08,region,E12000007,London,192.7
2020-04-07,region,E12000007,London,182.9
2020-04-06,region,E12000007,London,172.3
2020-04-05,region,E12000007,London,162.7
2020-04-04,region,E12000007,London,155.7
2020-04-03,region,E12000007,London,147.1
2020-04-02,region,E12000007,London,136.2
2020-04-01,region,E12000007,London,124.3
2020-03-31,region,E12000007,London,113.3
2020-03-30,region,E12000007,London,102.9
2020-03-29,region,E12000007,London,93.2
2020-03-28,region,E12000007,London,86.6
2020-03-27,region,E12000007,London,80.1
2020-03-26,region,E12000007,London,71
2020-03-25,region,E12000007,London,62.5
2020-03-24,region,E12000007,London,54
2020-03-23,region,E12000007,London,47
2020-03-22,region,E12000007,London,39.3
2020-03-21,region,E12000007,London,34.4
2020-03-20,region,E12000007,London,30.5
2020-03-19,region,E12000007,London,25.7
2020-03-18,region,E12000007,London,22
2020-03-17,region,E12000007,London,18
2020-03-16,region,E12000007,London,14.6
2020-03-15,region,E12000007,London,12
2020-03-14,region,E12000007,London,10.1
2020-03-13,region,E12000007,London,8.4
2020-03-12,region,E12000007,London,6.9
2020-03-11,region,E12000007,London,5.1
2020-03-10,region,E12000007,London,3
2020-03-09,region,E12000007,London,2
2020-03-08,region,E12000007,London,1.4
2020-03-07,region,E12000007,London,1.2
2020-03-06,region,E12000007,London,1
2020-03-05,region,E12000007,London,0.7
2020-03-04,region,E12000007,London,0.6
2020-03-03,region,E12000007,London,0.4
2020-03-02,region,E12000007,London,0.3
2020-03-01,region,E12000007,London,0.2
2020-02-29,region,E12000007,London,0.1
2020-02-28,region,E12000007,London,0.1
2020-02-27,region,E12000007,London,0.1
2020-02-26,region,E12000007,London,0.1
2020-02-25,region,E12000007,London,0.1
2020-02-24,region,E12000007,London,0
2020-02-23,region,E12000007,London,0
2020-02-22,region,E12000007,London,0
2020-02-21,region,E12000007,London,0
2020-02-20,region,E12000007,London,0
2020-02-19,region,E12000007,London,0
2020-02-18,region,E12000007,London,0
2020-02-17,region,E12000007,London,0
2020-02-16,region,E12000007,London,0
2020-02-15,region,E12000007,London,0
2020-02-14,region,E12000007,London,0
2020-02-13,region,E12000007,London,0
2020-02-12,region,E12000007,London,0
2020-02-11,region,E12000007,London,0
2020-02-10,region,E12000007,London,
2020-02-09,region,E12000007,London,
2020-02-08,region,E12000007,London,
2020-02-07,region,E12000007,London,
2020-02-06,region,E12000007,London,
2020-02-05,region,E12000007,London,
2020-02-04,region,E12000007,London,
2020-02-03,region,E12000007,London,
2020-02-02,region,E12000007,London,
2020-02-01,region,E12000007,London,
2020-01-31,region,E12000007,London,
2020-01-30,region,E12000007,London,
2020-01-29,region,E12000007,London,
2020-01-28,region,E12000007,London,
2020-01-27,region,E12000007,London,
2020-01-26,region,E12000007,London,
2020-01-25,region,E12000007,London,
2020-01-24,region,E12000007,London,
2020-01-23,region,E12000007,London,
2020-01-22,region,E12000007,London,
2020-01-21,region,E12000007,London,
2020-01-20,region,E12000007,London,
2020-01-19,region,E12000007,London,
2020-01-18,region,E12000007,London,
2020-01-17,region,E12000007,London,
2020-01-16,region,E12000007,London,
2020-01-15,region,E12000007,London,
2020-01-14,region,E12000007,London,
2020-01-13,region,E12000007,London,
2020-01-12,region,E12000007,London,
2020-01-11,region,E12000007,London,
2020-01-10,region,E12000007,London,
2020-01-09,region,E12000007,London,
2020-01-08,region,E12000007,London,
2020-01-07,region,E12000007,London,
2020-01-06,region,E12000007,London,
2020-01-05,region,E12000007,London,
2020-01-04,region,E12000007,London,
2020-01-03,region,E12000007,London,
